model_name,accuracy,f1_macro,precision_macro,recall_macro,precision_minority,recall_minority,f1_minority,roc_auc,tn,fp,fn,tp
Entropy_Baseline,0.8108163474341903,0.7502432883529835,0.7419978819188469,0.760837352161351,0.5935828877005348,0.6649550706033376,0.6272452068617558,0.7725978909752952,6362,1064,783,1554
Gini_Baseline,0.811738195226877,0.7504936901762524,0.7429156002271194,0.7599771460668383,0.5963692545384318,0.660676080445015,0.6268777913114089,0.7725944336711005,6381,1045,793,1544
ID3 (entropy)_GridBest,0.7882822902796272,0.7534417305970221,0.7410027092992149,0.8133224278434685,0.5359424920127795,0.8613607188703466,0.6607582471688823,0.8926178027425873,5683,1743,324,2013
CART (gini)_GridBest,0.7983201884666599,0.7615007023524306,0.746629494875473,0.8149358364676678,0.5512534818941505,0.8468121523320497,0.667791462797368,0.8829920052145367,5815,1611,358,1979
